,Display_Media_IQ,Video_HTS,Display_Waze,Display_ESPN,Video_AdTheorent,Display_Verizon,Video_Youtube,Video_Vevo,Display_TedX,Display_Zillow,Display_Quantcast,Audio_Pandora,Video_Hulu,Display_AdTheorent
Display_Media_IQ,1.00,0.01,0.00,0.00,0.10,0.29,0.00,0.00,0.00,0.03,0.57,0.00,0.00,0.47
Video_HTS,0.04,1.00,0.00,0.00,0.05,0.22,0.00,0.00,0.00,0.03,0.50,0.00,0.00,0.47
Display_Waze,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Display_ESPN,0.01,0.01,0.00,1.00,0.01,0.04,0.00,0.00,0.00,0.01,0.10,0.00,0.00,0.07
Video_AdTheorent,0.18,0.02,0.00,0.00,1.00,0.26,0.00,0.00,0.00,0.05,0.61,0.00,0.00,0.76
Display_Verizon,0.05,0.01,0.00,0.00,0.03,1.00,0.00,0.00,0.00,0.06,0.47,0.00,0.00,0.29
Video_Youtube,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Video_Vevo,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Display_TedX,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.00,0.02,0.00,0.00,0.02
Display_Zillow,0.02,0.01,0.00,0.00,0.02,0.17,0.00,0.00,0.00,1.00,0.38,0.00,0.00,0.46
Display_Quantcast,0.05,0.01,0.00,0.00,0.03,0.21,0.00,0.00,0.00,0.06,1.00,0.00,0.00,0.37
Audio_Pandora,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Video_Hulu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Display_AdTheorent,0.06,0.02,0.00,0.00,0.06,0.21,0.00,0.00,0.00,0.11,0.00,0.00,0.00,1.00
